Microsoft Analysis Services Deployment Tool,Microsoft Corporation,12.0.2000.8,C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\ManagementStudio\Microsoft.AnalysisServices.Deployment.exe
SQL Server 2008 Integration Services Package Execution Utility,Microsoft Corporation,11.0.2100.60,C:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\ManagementStudio\DTExecUI.exe
Opera Internet Browser,Opera Software,72.0.3815.320,C:\Program Files\Opera\launcher.exe
Microsoft Office component,Microsoft Corporation,16.0.13328.20130,C:\Program Files (x86)\Microsoft Office\root\Office16\msoasb.exe
Diagnostics utility for Internet Explorer,Microsoft Corporation,11.00.19041.1,C:\Program Files\Internet Explorer\iediagcmd.exe
FileZilla FTP Client,FileZilla Project,3. 33. 0. 0,C:\Program Files\FileZilla FTP Client\filezilla.exe
Microsoft Visual Studio 2010,Microsoft Corporation,10.0.40219.1,c:\Program Files (x86)\Microsoft Visual Studio 10.0\Common7\IDE\devenv.exe
SQL Server Error and Usage Reporting,Microsoft Corporation,12.0.2000.8,C:\Program Files (x86)\Microsoft SQL Server\120\Shared\SqlWtsn.exe
ISDeploymentWizard,Microsoft Corporation,12.0.2000.8,C:\Program Files (x86)\Microsoft SQL Server\120\DTS\Binn\ISDeploymentWizard.exe
MPC-HC (x64),MPC-HC Team,1.7.16.3 (959ca1ef9),C:\Program Files (x86)\K-Lite Codec Pack\MPC-HC64\mpc-hc64.exe
Application Windows Wordpad,Microsoft Corporation,10.0.19041.561,C:\Program Files (x86)\Windows NT\Accessories\wordpad.exe
Execute Package Utility,Microsoft Corporation,12.0.2000.8,C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\ManagementStudio\DTExecUI.exe
Unopkg,The Document Foundation,6.4.6.2,C:\Program Files\LibreOffice\program\unopkg.exe
AviTice Client Configurator,NetSupport Ltd,V12.10,C:\Program Files (x86)\AviTice\AviTice Remote Manager\pcicfgui.exe
XnView Classic for Windows,XnView  http://www.xnview.com,2.45,C:\Program Files (x86)\XnView\xnview.exe
Scilab 6.0.1 (GUI),Scilab Enterprises,6. 0. 1. 0,C:\Program Files\scilab-6.0.1\bin\WScilex.exe
R for Windows GUI front-end,,3.50.9090.0,C:\Program Files\R\R-3.5.0\bin\x64\Rgui.exe
ISProjectWizard,Microsoft Corporation,12.0.2000.8,C:\Program Files (x86)\Microsoft SQL Server\120\DTS\Binn\ISProjectWizard.exe
SQL Server Import and Export Wizard,Microsoft Corporation,11.0.3000.0,C:\Program Files (x86)\Microsoft SQL Server\110\DTS\Binn\DTSWizard.exe
Contrôle De Mission Java,,0.0.0.0,C:\Program Files\Java\jdk1.8.0_171\bin\jmc.exe
Windows Contacts,Microsoft Corporation,10.0.19041.1,C:\Program Files (x86)\Windows Mail\wab.exe
Unity Editor,Unity Technologies ApS,2017.2.0.4644257,C:\Program Files\Unity\Editor\Unity.exe
GraphStudioNext,,0.7.1.32,C:\Program Files (x86)\K-Lite Codec Pack\Tools\GraphStudioNext.exe
LibreOffice,The Document Foundation,6.4.6.2,C:\Program Files\LibreOffice\program\soffice.exe
EasyPHP DevServer VC11 Manager ,EasyPHP,14.1.0.0,C:\Program Files (x86)\EasyPHP-DevServer-14.1VC11\EasyPHP-DevServer-14.1VC11.exe
Atelier B 4.2.1,,0.0.0.0,C:\Program Files (x86)\Atelier B free 4.2.1\bbin\win32\AtelierB.exe
Brackets,brackets.io,1.12.0.0,C:\Program Files (x86)\Brackets\Brackets.exe
XMind 8 Update 7,,0.0.0.0,C:\Program Files (x86)\XMind\XMind.exe
Wireshark Portable (PortableApps.com Launcher),PortableApps.com,2.2.1.0,D:\Applications_Portable_NE_PAS_EFFACER\WiresharkPortable 2.6.1\WiresharkPortable.exe
LibreOffice Math,The Document Foundation,6.4.6.2,C:\Program Files\LibreOffice\program\smath.exe
Firefox,Mozilla Corporation,81.0.2,C:\Program Files\Mozilla Firefox\firefox.exe
